"AllY1","AllY2","AllY3","pop.never.s1","pop.never.s2","sace.diff1","sace.diff2","ace.diff1","ace.diff2","ci1.L","ci1.H","ci2.L","ci2.H","ace.or1","ace.or2","sace.or1","sace.or2","betaE","betaU"
49426,164,410,0.99382,0.983,0.000244150559511699,-0.000825099112515345,0.000650360151922945,-0.000300583455850449,-0.110145721214239,0.505999798950237,-0.231281669189568,0.157584224467546,1.21887665839703,0.963826231631977,1.22642075273654,0.958985284511937,1,2
49403,161,436,0.99408,0.98194,-8.14713729963134e-05,-0.000422501207146306,-0.000134163750873279,-0.000831724373212179,-0.350902636816272,0.268091551254801,-0.284726477953682,0.0927863995129394,0.959405758158903,0.908484599775608,0.946933772836888,0.912476386230437,1,2
49438,139,423,0.99426,0.9832,-6.10252237591538e-05,-0.00028161647858709,-7.2126292744748e-05,-0.00085163849100016,-0.358788887292345,0.307131345822062,-0.293052301117076,0.090139906473179,0.974532812320423,0.903658860660422,0.98848057110408,0.916175304644454,1,2
49433,161,406,0.99402,0.98364,-0.000121995852141027,-0.000824933099937627,-0.000682686752487133,0.000320053024190199,-0.522205379777922,0.100071225912181,-0.155766841995993,0.234996783970651,0.809152434184145,1.04041145274808,0.808630589921433,1.04520008408289,1,2
49382,171,447,0.99354,0.9828,-8.14000814000814e-05,0.000241560480705357,-0.000764766572243085,0.000117891400585699,-0.526413419094217,0.0779526096386324,-0.173448563118064,0.199033345117937,0.799870408617827,1.01334933524218,0.757554346424611,1.01723094186956,1,2
49485,138,377,0.99442,0.98454,0.000853190322384058,-0.000784376822670501,0.000890384770390279,-0.000261972495381736,-0.0146681196453412,0.662280997916518,-0.237610607978141,0.167774914732577,1.3823798195986,0.965685902623238,1.34960270660523,0.969882759546225,1,2
49397,152,451,0.9942,0.98258,-0.000244254920718924,-0.00142828404747536,-0.000225002015528316,-0.000386508528251205,-0.392098479835992,0.245005278282154,-0.228545920576906,0.142329165080388,0.929064657878217,0.957808834704464,0.955994471490696,0.958141646766516,1,2
49420,148,432,0.99388,0.98366,0.000467641258158307,0.000382339920312311,-0.000114915264840124,-0.000735788476689665,-0.361350675773405,0.284111776805021,-0.27523921664422,0.10386681631258,0.962132539331268,0.917885739577286,1.00074230902567,0.921182076168954,1,2
49465,150,385,0.99368,0.98404,-0.000142270639404902,-0.000342162466790114,-0.000417364960141264,0.000955919749446893,-0.459685287728649,0.18268380952849,-0.0757376973912362,0.326169197560404,0.870518430391999,1.13305573479593,0.905724316785237,1.11708969197344,1,2
49450,140,410,0.9948,0.98282,-0.00030524409352679,6.0313630880579e-05,-0.00038213460085492,0.00156979852260339,-0.468595767074477,0.196635660046204,-0.00222290472205264,0.388235452785456,0.872857896659496,1.21290427327374,0.860819327156951,1.22630774456522,1,2
49410,152,438,0.994,0.98324,4.06818274276881e-05,-0.000221327967806841,-8.96178128568733e-05,-0.000503321919679582,-0.347783939564023,0.28915643947394,-0.246005356173439,0.130401130067624,0.971112793115865,0.943835313771455,0.970398739678401,0.939281358374994,1,2
